race_id,date,venue,race_number,race_name,course_type,distance,going,start_time,horse_number,gate_number,horse_name,sex_age,jockey,weight,odds,popularity,running_style,recent_form_score,course_aptitude,distance_aptitude,going_aptitude,jockey_score,recent_speed_score,power_score,meeting,grade,turn,weather,conditions,trainer,body_weight
tokyo-2026-05-31-11,2026-05-31,東京,11,日本ダービー,芝,2400,良,15:40,1,1,カチウマキング,牡3,田中,57.0,2.8,1,先行,82,74,72,76,83,80,72,2回東京12日目,G1,左,晴,3歳オープン・牡牝・馬齢,美浦・青木,482(+2)
tokyo-2026-05-31-11,2026-05-31,東京,11,日本ダービー,芝,2400,良,15:40,3,2,ダービーアクセル,牡3,横山,57.0,4.1,2,差し,86,88,86,80,84,82,74,2回東京12日目,G1,左,晴,3歳オープン・牡牝・馬齢,栗東・石橋,496(-4)
tokyo-2026-05-31-11,2026-05-31,東京,11,日本ダービー,芝,2400,良,15:40,5,3,クラシックコード,牡3,武藤,57.0,9.8,5,差し,84,87,90,79,80,81,73,2回東京12日目,G1,左,晴,3歳オープン・牡牝・馬齢,美浦・鹿戸,488(+4)
tokyo-2026-05-31-11,2026-05-31,東京,11,日本ダービー,芝,2400,良,15:40,7,4,トウキョウブレイブ,牡3,佐藤,57.0,7.8,4,先行,88,90,87,78,82,86,76,2回東京12日目,G1,左,晴,3歳オープン・牡牝・馬齢,美浦・高木,506(+6)
tokyo-2026-05-31-11,2026-05-31,東京,11,日本ダービー,芝,2400,良,15:40,12,6,ロングスパート,牡3,鈴木,57.0,16.5,7,追込,84,90,92,78,78,80,74,2回東京12日目,G1,左,晴,3歳オープン・牡牝・馬齢,栗東・牧田,470(+8)
tokyo-2026-05-31-11,2026-05-31,東京,11,日本ダービー,芝,2400,良,15:40,15,8,レイトチャージ,牡3,藤井,57.0,35.0,10,追込,76,85,88,72,72,75,70,2回東京12日目,G1,左,晴,3歳オープン・牡牝・馬齢,美浦・宮田,462(-2)
tokyo-2026-05-31-12,2026-05-31,東京,12,目黒記念,芝,2500,良,17:00,3,2,メグロロード,牡5,高橋,57.5,4.8,2,差し,84,83,90,79,81,80,74,2回東京12日目,G2,左,晴,4歳以上オープン・ハンデ,美浦・加藤,506(+2)
tokyo-2026-05-31-12,2026-05-31,東京,12,目黒記念,芝,2500,良,17:00,6,3,ステイヤーズアイ,牡6,中村,56.0,10.5,5,先行,81,80,92,82,76,78,78,2回東京12日目,G2,左,晴,4歳以上オープン・ハンデ,栗東・杉山,520(-6)
tokyo-2026-05-31-12,2026-05-31,東京,12,目黒記念,芝,2500,良,17:00,9,5,ロングハンデ,牡4,松山,55.0,18.8,7,差し,86,86,93,84,79,82,77,2回東京12日目,G2,左,晴,4歳以上オープン・ハンデ,栗東・小崎,494(+10)
tokyo-2026-05-31-12,2026-05-31,東京,12,目黒記念,芝,2500,良,17:00,11,6,サクラペース,牡5,北村,58.0,3.1,1,逃げ,79,70,71,73,84,82,76,2回東京12日目,G2,左,晴,4歳以上オープン・ハンデ,美浦・手塚,512(+4)
tokyo-2026-05-31-12,2026-05-31,東京,12,目黒記念,芝,2500,良,17:00,14,7,タフネスライン,せん7,内田,54.0,28.0,9,追込,78,82,89,88,74,76,82,2回東京12日目,G2,左,晴,4歳以上オープン・ハンデ,美浦・和田,486(-8)
tokyo-2026-05-31-12,2026-05-31,東京,12,目黒記念,芝,2500,良,17:00,16,8,バランスホープ,牡4,吉田,56.5,7.2,4,先行,83,84,86,80,82,83,76,2回東京12日目,G2,左,晴,4歳以上オープン・ハンデ,栗東・池添,500(+2)
kyoto-2026-05-31-11,2026-05-31,京都,11,葵ステークス,芝,1200,重,15:30,2,1,キョウトスプリント,牡3,川田,57.0,2.6,1,差し,78,72,70,66,82,77,68,4回京都12日目,G3,右,曇,3歳オープン・別定,栗東・藤原,484(+4)
kyoto-2026-05-31-11,2026-05-31,京都,11,葵ステークス,芝,1200,重,15:30,4,2,スピードフロント,牡3,坂井,57.0,5.2,3,逃げ,84,82,83,78,80,90,70,4回京都12日目,G3,右,曇,3歳オープン・別定,栗東・中内田,492(+2)
kyoto-2026-05-31-11,2026-05-31,京都,11,葵ステークス,芝,1200,重,15:30,7,4,アオイロケット,牝3,岩田,55.0,12.6,6,先行,86,84,86,85,78,91,72,4回京都12日目,G3,右,曇,3歳オープン・別定,栗東・西村,466(-2)
kyoto-2026-05-31-11,2026-05-31,京都,11,葵ステークス,芝,1200,重,15:30,9,5,ラストスパーク,牡3,和田,57.0,19.5,8,追込,83,80,82,88,77,85,73,4回京都12日目,G3,右,曇,3歳オープン・別定,栗東・橋口,474(+6)
kyoto-2026-05-31-11,2026-05-31,京都,11,葵ステークス,芝,1200,重,15:30,11,6,テンポメーカー,牡3,幸,57.0,8.8,4,先行,80,79,80,76,76,84,70,4回京都12日目,G3,右,曇,3歳オープン・別定,栗東・安田,490(+8)
kyoto-2026-05-31-11,2026-05-31,京都,11,葵ステークス,芝,1200,重,15:30,13,7,グッドウェット,牝3,浜中,55.0,32.0,10,差し,75,78,77,92,72,78,74,4回京都12日目,G3,右,曇,3歳オープン・別定,栗東・高野,458(+2)
